,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
77,Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012,Caddy
78,Audi,3700.0,hatch,420,2.0,Diesel,no,2004,A3
79,Toyota,15700.0,crossover,195,4.0,Gas,yes,2003,Land Cruiser Prado
80,Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012,E-Class
81,Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007,Lancer
82,Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,Caravelle
83,Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,Polo
84,BMW,8200.0,sedan,287,2.5,Gas,yes,1999,525
85,Renault,6999.0,van,222,1.5,Diesel,yes,2009,Kangoo
86,Renault,6750.0,vagon,214,1.5,Diesel,yes,2004,Megane
87,Audi,18500.0,sedan,245,3.0,Diesel,yes,2006,A8
88,Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009,Avensis
89,Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007,GL 320
90,Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008,Pajero Wagon
91,Mercedes-Benz,18939.537220470535,crossover,0,3.0,Diesel,yes,2016,GL 350
92,Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008,GL 450
93,Audi,2650.0,vagon,333,2.5,Diesel,no,2000,A6
94,Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008,Lancer X
95,Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992,200
96,Renault,11000.0,other,131,1.5,Diesel,yes,2011,Kangoo
97,Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007,E-Class
98,BMW,4099.0,sedan,50,2.5,Petrol,yes,1988,520
99,Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014,Tiguan
100,Renault,4500.0,van,207,1.5,Diesel,yes,2003,Kangoo
101,Volkswagen,6700.0,other,207,1.9,Diesel,yes,2004,Caddy
102,Renault,18939.537220470535,van,85,1.5,Diesel,yes,2012,Kangoo
103,Mitsubishi,20800.0,crossover,31,2.4,Petrol,yes,2011,Outlander XL
104,Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350
105,BMW,3500.0,sedan,334,2.0,Diesel,no,1999,320
106,Audi,39000.0,sedan,18,1.8,Other,yes,2015,A5
107,Toyota,13500.0,crossover,150,4.7,Gas,yes,2002,Land Cruiser 100
108,Mitsubishi,6150.0,sedan,175,1.6,Petrol,yes,2007,Lancer
109,BMW,45500.0,crossover,76,4.4,Petrol,yes,2010,X6 M
110,BMW,4900.0,sedan,295,2.0,Petrol,yes,1994,520
111,BMW,47000.0,other,5,2.0,Petrol,yes,2014,Z4
112,Toyota,19200.0,crossover,190,2.7,Gas,yes,2005,Land Cruiser Prado
113,Renault,18939.537220470535,vagon,180,1.5,Diesel,yes,2011,Megane
114,Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008,Outlander
115,Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012,Lancer X
116,Volkswagen,10300.0,sedan,235,2.0,Petrol,yes,2007,Passat B6
117,Renault,11990.0,van,210,1.1,Diesel,yes,2010,Scenic
118,Mitsubishi,800.0,sedan,340,2.7867418728772444,Other,yes,1986,Galant
119,BMW,46800.0,sedan,33,2.0,Diesel,yes,2014,520
120,Volkswagen,1500.0,other,260,1.8,Gas,no,1994,Golf III
121,BMW,6350.0,crossover,156,4.4,Gas,no,2002,X5
122,Mercedes-Benz,18939.537220470535,sedan,16,3.0,Diesel,yes,2014,S 350
123,Mercedes-Benz,8900.0,hatch,155,1.5,Petrol,yes,2005,A 150
124,Mercedes-Benz,12700.0,van,160,3.0,Diesel,yes,2007,Vito
125,Mitsubishi,8000.0,sedan,207,1.6,Gas,yes,2007,Lancer
126,Toyota,29500.0,crossover,63,4.0,Petrol,yes,2008,FJ Cruiser
127,Volkswagen,18939.537220470535,hatch,100,2.0,Petrol,yes,2013,Golf GTI
128,Renault,7100.0,van,208,1.5,Diesel,yes,2008,Kangoo
129,Renault,10850.0,crossover,103,2.5,Gas,yes,2010,Koleos
130,Volkswagen,18939.537220470535,van,277,2.5,Diesel,yes,2001,T4 (Transporter)
131,Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
132,Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013,Passat B7
133,Volkswagen,18100.0,other,64,2.0,Petrol,yes,2011,Scirocco
134,BMW,27000.0,sedan,137,5.0,Other,yes,2005,M5
135,BMW,8990.0,other,300,2.2,Petrol,yes,2002,320
136,Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013,Venza
137,BMW,25500.0,other,163,4.8,Petrol,yes,2008,X5
138,Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003,Rav 4
139,Audi,11950.0,sedan,190,3.0,Petrol,yes,2006,A6
140,Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,E-Class
141,Audi,600.0,sedan,112,1.6,Petrol,yes,1980,80
142,BMW,13000.0,sedan,165,2.2,Gas,yes,2003,520
143,Audi,25000.0,other,60,2.0,Petrol,yes,2011,A5
144,Toyota,26900.0,crossover,119,4.0,Gas,yes,2008,Land Cruiser Prado
145,Mercedes-Benz,87777.0,van,0,2.2,Diesel,yes,2016,V 250
146,Volkswagen,6000.0,van,200,2.0,Diesel,yes,2008,Caddy
147,Audi,9800.0,vagon,257,2.5,Diesel,yes,2003,A6
148,Audi,13900.0,other,197,2.0,Diesel,yes,2006,A6
149,Renault,12200.0,van,164,2.5,Diesel,yes,2009,Trafic
150,Mercedes-Benz,13500.0,crossover,205,2.7,Diesel,yes,2005,ML 270
151,BMW,18100.0,crossover,200,4.8,Petrol,yes,2005,X5
152,BMW,33000.0,crossover,200,3.0,Diesel,yes,2010,X5
153,Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011,Tiguan
154,Mercedes-Benz,22000.0,sedan,110,1.8,Petrol,yes,2011,C-Class
155,Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007,Passat B6
156,Mercedes-Benz,7800.0,sedan,226,2.2,Diesel,yes,2000,E-Class
157,Mercedes-Benz,17300.0,sedan,184,1.8,Gas,yes,2008,E-Class
158,BMW,70000.0,sedan,16,3.0,Diesel,yes,2014,730
159,Volkswagen,2200.0,hatch,118,1.4,Petrol,no,2001,Lupo
160,BMW,8900.0,sedan,256,2.2,Petrol,yes,2002,5 Series
161,Mercedes-Benz,31600.0,sedan,33,1.6,Petrol,yes,2013,CLA 200
162,Volkswagen,7900.0,other,168,1.9,Diesel,yes,2006,T5 (Transporter)
163,Toyota,28500.0,crossover,97,3.5,Petrol,yes,2012,Highlander
164,Renault,6900.0,van,140,1.5,Diesel,yes,2012,Kangoo
165,BMW,8850.0,vagon,280,2.5,Diesel,yes,2000,525
166,Renault,3100.0,van,164,1.4,Petrol,yes,1999,Kangoo
167,BMW,8900.0,sedan,250,2.5,Petrol,yes,2000,525
168,Renault,6100.0,sedan,130,1.4,Petrol,yes,2005,Megane
169,BMW,1400.0,sedan,260,1.8,Petrol,no,1996,318
170,Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012,Caddy
171,Renault,10299.0,other,176,2.0,Diesel,yes,2013,Trafic
172,Renault,6500.0,sedan,170,1.6,Petrol,yes,2004,Megane
173,Mercedes-Benz,169000.0,other,1,4.7,Petrol,yes,2015,S 500
174,Toyota,9100.0,sedan,151,1.6,Gas,yes,2007,Corolla
175,Volkswagen,9950.0,hatch,95,1.4,Petrol,yes,2010,Polo
176,Toyota,24500.0,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100
177,Audi,51500.0,crossover,27,3.0,Diesel,yes,2013,Q7
178,Volkswagen,12900.0,van,290,1.9,Diesel,yes,2008,T5 (Transporter)
179,Mercedes-Benz,8000.0,van,250,2.2,Diesel,yes,2006,Vito
180,Mitsubishi,8100.0,sedan,112,2.4,Petrol,yes,2007,Galant
181,Renault,10100.0,van,164,2.0,Diesel,yes,2012,Trafic
182,BMW,1900.0,sedan,300,2.5,Diesel,no,1997,5 Series
183,Renault,10800.0,van,187,2.0,Diesel,yes,2012,Trafic
184,Audi,8000.0,sedan,234,4.2,Gas,no,2004,A8
185,Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004,CLK 240
186,Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998,Golf IV
187,Volkswagen,23999.0,sedan,88,2.7867418728772444,Other,yes,2012,Passat CC
188,BMW,38888.0,vagon,5,0.65,Other,yes,2015,I3
189,Mitsubishi,7300.0,hatch,126,2.7867418728772444,Other,yes,2004,Colt
190,Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
191,Volkswagen,17650.0,sedan,110,1.8,Petrol,yes,2012,Passat B7
192,Volkswagen,12999.0,van,237,2.5,Diesel,yes,2005,Multivan
193,Mercedes-Benz,18500.0,other,90,1.8,Petrol,yes,2008,C-Class
194,Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006,Passat B6
195,Volkswagen,14500.0,sedan,1,1.6,Other,yes,2016,Polo
196,Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011,Passat B7
197,Mercedes-Benz,6800.0,van,250,1.7,Diesel,yes,2003,Vaneo
198,BMW,20500.0,crossover,73,2.0,Petrol,yes,2011,X1
199,BMW,28000.0,other,100,5.0,Petrol,yes,2005,M5
200,Volkswagen,10650.0,van,130,2.0,Diesel,yes,2011,T5 (Transporter) 
201,Volkswagen,20300.0,other,30,1.4,Petrol,yes,2013,Scirocco
202,Volkswagen,3000.0,vagon,267,1.9,Diesel,no,1999,Passat B5
203,Toyota,25250.0,crossover,112,4.5,Gas,yes,2007,Land Cruiser 100
204,Mitsubishi,1389.0,hatch,245,1.3,Petrol,no,1996,Colt
205,Mercedes-Benz,17600.0,sedan,174,4.0,Diesel,yes,2005,S 400
206,Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007,Vito
207,BMW,13700.0,crossover,270,4.6,Gas,yes,2004,X5
208,Mercedes-Benz,23900.0,sedan,187,5.5,Petrol,yes,2007,S 550
209,Volkswagen,3700.0,crossover,267,2.7867418728772444,Diesel,no,2000,Golf IV
210,Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013,Passat CC
211,BMW,4599.0,sedan,267,2.0,Gas,yes,1991,520
212,Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998,Passat B5
213,Audi,19999.0,vagon,160,2.0,Petrol,yes,2010,A4 Allroad
214,BMW,28900.0,sedan,78,2.0,Petrol,yes,2012,528
215,Volkswagen,3800.0,sedan,300,2.8,Gas,yes,1996,Passat B4
216,Audi,4649.0,vagon,350,2.7867418728772444,Diesel,yes,2000,A6
217,Volkswagen,1800.0,other,300,1.3,Petrol,yes,1989,Golf II
218,Toyota,135000.0,crossover,1,4.5,Diesel,yes,2011,Land Cruiser 200
219,Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007,Passat B6
220,Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200
221,Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016,Jetta
222,Renault,4999.0,sedan,140,1.4,Petrol,yes,2011,Logan
223,Volkswagen,18939.537220470535,other,142,2.5,Diesel,yes,2007,Multivan
224,BMW,4700.0,sedan,390,2.5,Petrol,yes,1991,525
225,Mercedes-Benz,4999.0,sedan,1,2.8,Petrol,yes,1997,E-Class
226,Mercedes-Benz,9299.0,sedan,350,2.7,Diesel,yes,2000,E-Class
227,Mercedes-Benz,25000.0,sedan,130,5.5,Petrol,yes,2007,S 550
228,Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008,Pajero Sport
229,Audi,9700.0,vagon,189,2.5,Diesel,yes,2003,A6
230,Renault,10100.0,van,64,2.0,Diesel,yes,2014,Trafic
231,BMW,2800.0,sedan,296,3.0,Diesel,no,2001,730
232,Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000,Sprinter 312
233,Mitsubishi,8900.0,hatch,125,1.8,Petrol,yes,2009,Lancer X Sportback
234,Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350
235,Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004,E-Class
236,BMW,36900.0,crossover,82,3.0,Petrol,yes,2010,X6
237,Toyota,33200.0,crossover,150,4.0,Gas,yes,2010,Land Cruiser Prado
238,Volkswagen,10200.0,van,253,2.5,Diesel,yes,2008,T5 (Transporter)
239,Volkswagen,16999.0,sedan,0,1.6,Petrol,yes,2016,Jetta
240,Toyota,10800.0,sedan,179,3.0,Gas,yes,2005,Camry
241,Mercedes-Benz,35500.0,other,99,2.99,Diesel,yes,2011,E-Class
242,Volkswagen,9900.0,hatch,156,1.6,Petrol,yes,2007,Golf Plus
243,Renault,7900.0,vagon,91,1.5,Diesel,yes,2008,Scenic
244,Mercedes-Benz,13900.0,sedan,216,2.2,Diesel,yes,2007,E-Class
245,Volkswagen,20000.0,sedan,102,1.8,Petrol,yes,2011,Passat CC
246,Toyota,28500.0,crossover,38,2.2,Diesel,yes,2015,Rav 4
247,Mitsubishi,7200.0,sedan,178,1.6,Petrol,yes,2007,Lancer
248,Mitsubishi,9000.0,crossover,200,2.0,Gas,yes,2006,Outlander
249,Audi,36500.0,crossover,115,3.0,Diesel,yes,2010,Q7
250,Volkswagen,8000.0,hatch,41,1.0,Petrol,yes,2012,Up
251,Audi,43000.0,other,11,1.8,Petrol,yes,2015,A6
252,Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013,Corolla
253,Toyota,7899.0,sedan,165,1.8,Gas,yes,2006,Avensis
254,Renault,13999.0,van,180,2.0,Diesel,yes,2012,Trafic
255,Volkswagen,10500.0,van,176,1.6,Diesel,yes,2012,Caddy
256,Mercedes-Benz,5500.0,sedan,100,99.99,Petrol,yes,2007,S 550
257,Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012,Amarok
258,Volkswagen,2500.0,sedan,488,2.0,Petrol,yes,1991,Passat B3
259,Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003,G 320
260,Mercedes-Benz,14500.0,sedan,220,5.0,Petrol,yes,2004,S 500
261,Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014,Auris
262,Mercedes-Benz,13600.0,van,172,2.2,Diesel,yes,2013,Vito
263,Audi,2600.0,vagon,273,2.5,Diesel,no,1999,A6
264,Mercedes-Benz,18939.537220470535,van,0,2.2,Diesel,yes,2016,V 250
265,BMW,12000.0,sedan,237,3.0,Diesel,yes,2003,530
266,Volkswagen,18939.537220470535,sedan,118,1.6,Gas,yes,2008,Jetta
267,Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013,Passat B7
268,Toyota,35500.0,crossover,85,3.0,Diesel,yes,2012,Land Cruiser Prado
269,Mercedes-Benz,29900.0,other,71,5.5,Petrol,yes,2007,CL 500
270,Renault,6750.0,other,110,1.5,Diesel,yes,2012,Kangoo
271,Toyota,18939.537220470535,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200
272,BMW,34900.0,crossover,117,3.0,Petrol,yes,2011,X5
273,Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008,T5 (Transporter) 
274,Renault,9250.0,vagon,220,1.5,Diesel,yes,2010,Megane
275,Renault,8400.0,hatch,84,1.5,Diesel,yes,2011,Kangoo
276,Toyota,11750.0,sedan,93,1.6,Petrol,yes,2013,Corolla
277,Mercedes-Benz,5800.0,van,368,2.2,Diesel,yes,2000,Vito
278,Toyota,5900.0,crossover,180,3.0,Diesel,no,2003,Land Cruiser Prado
279,BMW,44999.0,crossover,87,3.0,Diesel,yes,2011,X6
280,Volkswagen,10500.0,van,170,1.6,Diesel,yes,2013,Caddy
281,Mercedes-Benz,17900.0,sedan,190,3.0,Diesel,yes,2007,E-Class
282,Audi,9999.0,sedan,190,3.0,Petrol,yes,2007,A6
283,Audi,9999.0,sedan,190,2.5,Diesel,yes,2003,A6
284,Renault,4900.0,van,472,2.5,Diesel,yes,2000,Master
285,Volkswagen,61000.0,crossover,2,3.0,Diesel,yes,2016,Touareg
286,Toyota,38300.0,crossover,130,5.7,Gas,yes,2009,Land Cruiser 200
287,Toyota,17700.0,sedan,30,1.6,Petrol,yes,2014,Corolla
288,Toyota,600.0,sedan,10,1.5,Petrol,yes,1979,Corolla
289,Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013,Multivan
290,BMW,18000.0,crossover,280,3.0,Diesel,yes,2005,X5
291,Renault,7600.0,other,125,1.5,Diesel,yes,2013,Kangoo
292,Renault,6900.0,sedan,68,1.5,Diesel,yes,2013,Logan
293,Renault,15635.1,vagon,0,1.5,Diesel,yes,2016,Dokker
294,Renault,10550.0,van,195,2.0,Diesel,yes,2011,Trafic
295,Volkswagen,12500.0,van,190,1.9,Diesel,yes,2008,T5 (Transporter)
296,Audi,13000.0,sedan,157,3.0,Petrol,yes,2006,A6
297,BMW,7400.0,sedan,285,4.4,Gas,yes,1997,540
298,Audi,64400.0,other,41,2.7867418728772444,Other,yes,2014,A8
299,Renault,9500.0,hatch,100,1.5,Diesel,yes,2009,Megane
300,Audi,18800.0,crossover,197,4.2,Petrol,yes,2007,Q7
301,Toyota,8000.0,sedan,176,3.0,Petrol,yes,2002,Camry
302,Volkswagen,8700.0,vagon,250,1.9,Diesel,yes,2002,Passat B5
303,Mercedes-Benz,9999.0,crossover,300,3.2,Petrol,yes,1998,ML 320
304,Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011,Passat CC
305,Toyota,13900.0,hatch,90,1.6,Petrol,yes,2012,Auris
306,Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011,T5 (Transporter) 
307,Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006,Lancer
308,Mercedes-Benz,18939.537220470535,van,450,2.2,Diesel,yes,2000,Vito
309,Renault,3600.0,van,22,1.9,Diesel,yes,2001,Kangoo
310,Renault,7500.0,vagon,98,1.4,Petrol,yes,2007,Kangoo
311,Renault,2300.0,van,200,1.9,Diesel,yes,2002,Kangoo
312,Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007,Touareg
313,Mitsubishi,13499.0,crossover,116,2.4,Petrol,yes,2008,Outlander XL
314,Renault,5700.0,van,180,1.5,Diesel,yes,2007,Kangoo
315,Renault,7250.0,van,83,2.7867418728772444,Other,yes,2013,Kangoo
316,Mitsubishi,17900.0,crossover,140,3.8,Gas,yes,2007,Pajero Wagon
317,Volkswagen,7800.0,vagon,289,2.7867418728772444,Diesel,yes,2003,Passat B5
318,Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006,Multivan
319,Audi,7950.0,vagon,167,2.5,Diesel,yes,2000,A6
320,BMW,9700.0,sedan,250,2.0,Petrol,yes,2003,318
321,Volkswagen,7500.0,sedan,240,1.8,Petrol,yes,2002,Passat B5
322,Audi,19999.0,crossover,117,4.2,Petrol,yes,2007,Q7
323,BMW,9100.0,sedan,230,2.0,Gas,yes,2004,318
324,Renault,8100.0,van,135,2.7867418728772444,Diesel,yes,2008,Kangoo
325,Volkswagen,13300.0,hatch,73,1.4,Petrol,yes,2011,Golf VI
326,Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014,Golf VII
327,Audi,6600.0,sedan,360,1.8,Petrol,yes,1998,A6
328,Audi,7600.0,vagon,226,3.0,Diesel,no,2006,A6
329,Mercedes-Benz,3500.0,hatch,258,1.7,Diesel,no,2002,A 170
330,Volkswagen,3500.0,sedan,3,1.8,Petrol,yes,1991,Passat B3
331,Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012,Vito
332,Renault,1950.0,vagon,286,1.9,Diesel,no,2001,Laguna
333,Volkswagen,7990.0,sedan,90,1.4,Petrol,yes,2003,New Beetle
334,Volkswagen,65000.0,crossover,24,2.7867418728772444,Other,yes,2015,Touareg
335,Volkswagen,6500.0,sedan,320,1.9,Diesel,yes,2001,Passat B5
336,Mitsubishi,3500.0,sedan,300,2.0,Diesel,yes,1996,Galant
337,Toyota,14100.0,sedan,113,2.4,Gas,yes,2009,Camry
338,Toyota,2999.0,other,300,1.6,Petrol,yes,1991,Corolla
339,BMW,66900.0,crossover,70,3.0,Diesel,yes,2014,X5
340,Toyota,13100.0,sedan,200,3.5,Gas,yes,2006,Camry
341,Volkswagen,6900.0,sedan,300,1.8,Petrol,yes,1998,Passat B5
342,Volkswagen,23999.0,sedan,80,2.0,Diesel,yes,2014,Passat B7
343,Mitsubishi,6990.0,crossover,225,2.5,Petrol,yes,1997,Pajero
344,Toyota,13999.0,sedan,198,2.4,Gas,yes,2009,Camry
345,Renault,7600.0,van,108,1.0,Diesel,yes,2013,Kangoo
346,Renault,11100.0,vagon,180,1.5,Diesel,yes,2012,Megane
347,Mercedes-Benz,16500.0,other,260,2.2,Diesel,yes,2011,Sprinter 319
349,Mercedes-Benz,44000.0,other,82,5.5,Petrol,yes,2010,S 500
350,Audi,39900.0,other,12,1.8,Petrol,yes,2014,A5
351,Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,E-Class
352,BMW,8000.0,crossover,214,4.4,Petrol,no,2000,X5
353,BMW,11600.0,sedan,142,2.0,Petrol,yes,2005,320
354,Audi,3500.0,sedan,265,2.0,Diesel,yes,1986,100
355,Renault,11500.0,vagon,170,1.5,Diesel,yes,2012,Megane
356,Volkswagen,13700.0,other,103,2.0,Diesel,yes,2011,Passat B6
357,Mercedes-Benz,13700.0,van,198,3.2,Gas,yes,2006,Viano
358,Renault,7700.0,vagon,200,1.5,Diesel,yes,2007,Megane
359,Mercedes-Benz,5800.0,sedan,231,2.2,Petrol,yes,1994,E-Class
360,Volkswagen,9500.0,sedan,95,2.0,Petrol,yes,2007,Passat B6
361,Mercedes-Benz,24900.0,sedan,140,5.5,Petrol,yes,2009,S 550
